7zip 24.09-3
sndio 1.10.0-1
sof-firmware 2025.05-1
solid 6.16.0-1
sonnet 6.16.0-1
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.0-1
spandsp 0.0.6-5
spdlog 1.15.3-1
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.321.0-1
sqlite 3.50.3-1
sratom 0.6.18-1
srt 1.5.4-1
startup-notification 0.12-8
steam 1.0.0.82-2
stoken 0.92-5
sudo 1.9.17.p1-1
svt-av1 3.0.2-1
svt-hevc 1.5.1-3
swaync 0.12.1-1
sysfsutils 2.1.1-2
systemd 257.7-2
systemd-libs 257.7-2
systemd-resolvconf 257.7-2
systemd-sysvcompat 257.7-2
taglib 2.1.1-1
talloc 2.4.3-1
tar 1.35-2
tcl 8.6.16-1
tdb 1.4.13-1
tevent 1:0.17.0-1
texinfo 7.2-1
thin-provisioning-tools 1.2.0-1
thunar 4.20.4-1
thunar-archive-plugin 0.6.0-1
thunar-media-tags-plugin 0.6.0-1
thunar-volman 4.20.0-2
tinysparql 3.9.2-2
tldr 3.4.1-1
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.8-1
tree-sitter-c 0.24.1-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
tslib 1.23-1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-opensans 3.003-1
tumbler 4.20.0-3
twolame 0.4.0-4
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-6
unibilium 2.1.2-1
unrar 1:7.1.10-1
unzip 6.0-23
upower 1.90.9-1
usb_modeswitch 2.6.2-1
usbmuxd 1.1.1-4
usbutils 018-1
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
v4l-utils 1.30.1-1
vapoursynth R70-2
vi 1:070224-6
vid.stab 1.1.1-2
visual-studio-code-bin 1.102.0-1
vlc 3.0.21-27
vlc-cli 3.0.21-27
vlc-gui-qt 3.0.21-27
vlc-plugin-a52dec 3.0.21-27
vlc-plugin-aalib 3.0.21-27
vlc-plugin-alsa 3.0.21-27
vlc-plugin-aom 3.0.21-27
vlc-plugin-archive 3.0.21-27
vlc-plugin-aribb24 3.0.21-27
vlc-plugin-aribb25 3.0.21-27
vlc-plugin-ass 3.0.21-27
vlc-plugin-avahi 3.0.21-27
vlc-plugin-bluray 3.0.21-27
vlc-plugin-caca 3.0.21-27
vlc-plugin-cddb 3.0.21-27
vlc-plugin-chromecast 3.0.21-27
vlc-plugin-dav1d 3.0.21-27
vlc-plugin-dbus 3.0.21-27
vlc-plugin-dbus-screensaver 3.0.21-27
vlc-plugin-dca 3.0.21-27
vlc-plugin-dvb 3.0.21-27
vlc-plugin-dvd 3.0.21-27
vlc-plugin-faad2 3.0.21-27
vlc-plugin-ffmpeg 3.0.21-27
vlc-plugin-firewire 3.0.21-27
vlc-plugin-flac 3.0.21-27
vlc-plugin-fluidsynth 3.0.21-27
vlc-plugin-freetype 3.0.21-27
vlc-plugin-gme 3.0.21-27
vlc-plugin-gnutls 3.0.21-27
vlc-plugin-gstreamer 3.0.21-27
vlc-plugin-inflate 3.0.21-27
vlc-plugin-jack 3.0.21-27
vlc-plugin-journal 3.0.21-27
vlc-plugin-jpeg 3.0.21-27
vlc-plugin-kate 3.0.21-27
vlc-plugin-kwallet 3.0.21-27
vlc-plugin-libsecret 3.0.21-27
vlc-plugin-lirc 3.0.21-27
vlc-plugin-live555 3.0.21-27
vlc-plugin-lua 3.0.21-27
vlc-plugin-mad 3.0.21-27
vlc-plugin-matroska 3.0.21-27
vlc-plugin-mdns 3.0.21-27
vlc-plugin-modplug 3.0.21-27
vlc-plugin-mpeg2 3.0.21-27
vlc-plugin-mpg123 3.0.21-27
vlc-plugin-mtp 3.0.21-27
vlc-plugin-musepack 3.0.21-27
vlc-plugin-nfs 3.0.21-27
vlc-plugin-notify 3.0.21-27
vlc-plugin-ogg 3.0.21-27
vlc-plugin-opus 3.0.21-27
vlc-plugin-png 3.0.21-27
vlc-plugin-pulse 3.0.21-27
vlc-plugin-quicksync 3.0.21-27
vlc-plugin-samplerate 3.0.21-27
vlc-plugin-sdl 3.0.21-27
vlc-plugin-sftp 3.0.21-27
vlc-plugin-shout 3.0.21-27
vlc-plugin-smb 3.0.21-27
vlc-plugin-soxr 3.0.21-27
vlc-plugin-speex 3.0.21-27
vlc-plugin-srt 3.0.21-27
vlc-plugin-svg 3.0.21-27
vlc-plugin-tag 3.0.21-27
vlc-plugin-theora 3.0.21-27
vlc-plugin-twolame 3.0.21-27
vlc-plugin-udev 3.0.21-27
vlc-plugin-upnp 3.0.21-27
vlc-plugin-vorbis 3.0.21-27
vlc-plugin-vpx 3.0.21-27
vlc-plugin-x264 3.0.21-27
vlc-plugin-x265 3.0.21-27
vlc-plugin-xml 3.0.21-27
vlc-plugin-zvbi 3.0.21-27
vlc-plugins-all 3.0.21-27
vlc-plugins-base 3.0.21-27
vlc-plugins-extra 3.0.21-27
vlc-plugins-video-output 3.0.21-27
vlc-plugins-visualization 3.0.21-27
vmaf 3.0.0-1
volume_key 0.3.12-11
vpnc 1:0.5.3.r539.r239-1
vte-common 0.80.3-1
vte3 0.80.3-1
vulkan-icd-loader 1.4.321.0-1
vulkan-intel 1:25.1.7-1
wavpack 5.8.1-1
waybar 0.13.0-3
wayland 1.24.0-1
wayland-protocols 1.45-1
webkit2gtk-4.1 2.48.5-1
webrtc-audio-processing-1 1.3-5
welcome 25.7-1
wget 1.25.0-2
which 2.23-1
wildmidi 0.4.6-1
wine 10.12-1
wireplumber 0.5.10-1
wl-clipboard 1:2.2.1-3
woff2 1.0.2-6
woff2-font-awesome 7.0.0-4
wofi 1.5.1-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xapp 2.8.9-1
xbitmaps 1.1.3-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-hyprland 1.3.10-1
xdg-user-dirs 0.18-2
xdg-user-dirs-gtk 0.14-1
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfce4-appfinder 4.20.0-2
xfce4-battery-plugin 1.2.0-1
xfce4-datetime-plugin 0.8.3-2
xfce4-mount-plugin 1.2.0-1
xfce4-netload-plugin 1.5.0-1
xfce4-notifyd 0.9.7-1
xfce4-panel 4.20.4-1
xfce4-power-manager 4.20.0-3
xfce4-pulseaudio-plugin 0.5.1-1
xfce4-screensaver 4.20.0-1
xfce4-screenshooter 1.11.2-1
xfce4-session 4.20.2-1
xfce4-settings 4.20.1-1
xfce4-taskmanager 1.6.0-1
xfce4-terminal 1.1.5-1
xfce4-wavelan-plugin 0.7.0-2
xfce4-weather-plugin 0.12.0-2
xfce4-whiskermenu-plugin 2.10.0-1
xfce4-xkb-plugin 0.9.0-1
xfconf 4.20.0-2
xfdesktop 4.20.1-1
xfsprogs 6.15.0-1
xfwm4 4.20.0-2
xfwm4-themes 4.10.0-6
xkeyboard-config 2.45-1
xl2tpd 1.3.19-1
xmlsec 1.3.7-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xdpyinfo 1.3.4-2
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkill 1.0.6-2
xorg-xmodmap 1.0.11-2
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland 24.1.8-1
xorgproto 2024.1-2
xterm 401-1
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yad 14.1-2.1
yay 12.5.0-1
youtube-music-bin 3.10.0-1
yyjson 0.11.1-1
zbar 0.23.93-4
zenity 4.1.90-1
zeromq 4.3.5-2
zimg 3.0.5-1
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.4-1
zstd 1.5.7-2
zvbi 0.2.44-1
zxing-cpp 2.3.0-5
